Country,Week,2016,2017,2018,2019,2020,Average,Date,Baseline
DEUTNP,1,18467,20918,19342,18628,18842,19338.75,2020-01-06,0
DEUTNP,2,18439,22070,18770,19092,19389,19592.75,2020-01-13,0
DEUTNP,3,18627,21236,19187,19046,19112,19524,2020-01-20,0
DEUTNP,4,18707,22083,19171,19458,18888,19854.75,2020-01-27,0
DEUTNP,5,18493,23640,19558,19774,19706,20366.25,2020-02-03,0
DEUTNP,6,18541,22745,20086,19905,18931,20319.25,2020-02-10,0
DEUTNP,7,18483,22683,21254,20125,19529,20636.25,2020-02-17,0
DEUTNP,8,18475,22267,22888,20321,18837,20987.75,2020-02-24,0
DEUTNP,9,18927,20930,25535,20737,19327,21532.25,2020-03-02,0
DEUTNP,10,18888,19102,26777,20386,19471,21288.25,2020-03-09,0
DEUTNP,11,18971,18665,24385,19738,19666,20439.75,2020-03-16,0
DEUTNP,12,18826,17640,22777,18976,19492,19554.75,2020-03-23,0
DEUTNP,13,18617,17731,20906,18501,19440,18938.75,2020-03-30,0
DEUTNP,14,18245,17028,20038,18608,20295,18479.75,2020-04-06,0
DEUTNP,15,17712,16901,19165,17794,20036,17893,2020-04-13,0
DEUTNP,16,17536,16637,17992,18025,,17547.5,2020-04-20,0
DEUTNP,17,17053,17634,17093,17849,,17407.25,2020-04-27,0
DEUTNP,18,16901,17129,16789,17024,,16960.75,2020-05-04,0
DEUTNP,19,17629,17343,17226,17059,,17314.25,2020-05-11,0
DEUTNP,20,16601,17079,16488,17239,,16851.75,2020-05-18,0
DEUTNP,21,16286,16451,16513,17068,,16579.5,2020-05-25,0
DEUTNP,22,16346,16902,17039,16873,,16790,2020-06-01,0
DEUTNP,23,15799,15846,16714,17426,,16446.25,2020-06-08,0
DEUTNP,24,15717,16087,15582,16403,,15947.25,2020-06-15,0
DEUTNP,25,16910,16819,15843,16581,,16538.25,2020-06-22,0
DEUTNP,26,15699,16076,16569,17854,,16549.5,2020-06-29,0
DEUTNP,27,16229,16424,16622,16489,,16441,2020-07-06,0
DEUTNP,28,16172,15603,16070,16260,,16026.25,2020-07-13,0
DEUTNP,29,16985,16589,16702,16779,,16763.75,2020-07-20,0
DEUTNP,30,16157,16058,18340,19614,,17542.25,2020-07-27,0
DEUTNP,31,15439,16494,20371,16974,,17319.5,2020-08-03,0
DEUTNP,32,15487,15784,18478,16501,,16562.5,2020-08-10,0
DEUTNP,33,16258,16149,16890,15918,,16303.75,2020-08-17,0
DEUTNP,34,17147,15880,16612,16205,,16461,2020-08-24,0
DEUTNP,35,16101,16064,16000,17601,,16441.5,2020-08-31,0
DEUTNP,36,16116,15707,16390,15949,,16040.5,2020-09-07,0
DEUTNP,37,16372,16147,16292,16235,,16261.5,2020-09-14,0
DEUTNP,38,15606,16505,16651,16460,,16305.5,2020-09-21,0
DEUTNP,39,16336,16747,15969,17361,,16603.25,2020-09-28,0
DEUTNP,40,16352,16664,16622,16862,,16625,2020-10-05,0
DEUTNP,41,17427,17470,16993,17615,,17376.25,2020-10-12,0
DEUTNP,42,17599,17139,16552,17626,,17229,2020-10-19,0
DEUTNP,43,17586,17059,16608,17229,,17120.5,2020-10-26,0
DEUTNP,44,17580,16762,16895,17334,,17142.75,2020-11-02,0
DEUTNP,45,17782,17371,17604,17708,,17616.25,2020-11-09,0
DEUTNP,46,18591,17595,16842,18093,,17780.25,2020-11-16,0
DEUTNP,47,17911,17677,17785,18445,,17954.5,2020-11-23,0
DEUTNP,48,18147,17877,18091,18569,,18171,2020-11-30,0
DEUTNP,49,18793,18295,18342,19280,,18677.5,2020-12-07,0
DEUTNP,50,18885,18504,17943,19092,,18606,2020-12-14,0
DEUTNP,51,19376,18502,18990,19046,,18978.5,2020-12-21,0
DEUTNP,52,19744,18652,17954,18135,,18621.25,2020-12-28,0
