placename,week,2017,2018,2019,2020,average,date
New York City,2,1178,1334,1071,1086,1194.3333333333333,2020-01-06
New York City,3,1133,1163,1140,1130,1145.3333333333333,2020-01-13
New York City,4,1185,1270,1119,1164,1191.3333333333333,2020-01-20
New York City,5,1145,1168,1098,1145,1137,2020-01-27
New York City,6,1146,1227,1226,1139,1199.6666666666667,2020-02-03
New York City,7,1094,1187,1088,1119,1123,2020-02-10
New York City,8,1061,1082,1066,1055,1069.6666666666667,2020-02-17
New York City,9,1021,1086,1072,1095,1059.6666666666667,2020-02-24
New York City,10,1051,1094,1082,1083,1075.6666666666667,2020-03-02
New York City,11,1104,1068,1064,1120,1078.6666666666667,2020-03-09
New York City,12,1059,1025,1009,1384,1031,2020-03-16
New York City,13,974,1016,1093,2744,1027.6666666666667,2020-03-23
New York City,14,990,1056,1025,6080,1023.6666666666666,2020-03-30
New York City,15,1043,1076,1079,7741,1066,2020-04-06
New York City,16,1012,1054,967,5747,1011,2020-04-13
New York City,17,1031,957,946,3872,978,2020-04-20
New York City,18,1015,984,999,2440,999.3333333333334,2020-04-27
New York City,19,1002,909,1044,2286,985,2020-05-04
New York City,20,1071,951,1044,1656,1022,2020-05-11
New York City,21,995,1012,1044,,1017,2020-05-18
New York City,22,971,976,893,,946.6666666666666,2020-05-25
New York City,23,938,934,1033,,968.3333333333334,2020-06-01
New York City,24,985,964,978,,975.6666666666666,2020-06-08
New York City,25,988,1039,969,,998.6666666666666,2020-06-15
New York City,26,950,975,985,,970,2020-06-22
New York City,27,982,1036,977,,998.3333333333334,2020-06-29
New York City,28,941,1006,960,,969,2020-07-06
New York City,29,955,928,1016,,966.3333333333334,2020-07-13
New York City,30,921,903,991,,938.3333333333334,2020-07-20
New York City,31,962,920,1010,,964,2020-07-27
New York City,32,964,963,958,,961.6666666666666,2020-08-03
New York City,33,1006,983,970,,986.3333333333334,2020-08-10
New York City,34,977,956,960,,964.3333333333334,2020-08-17
New York City,35,969,944,933,,948.6666666666666,2020-08-24
New York City,36,969,983,917,,956.3333333333334,2020-08-31
New York City,37,1002,925,954,,960.3333333333334,2020-09-07
New York City,38,948,991,1003,,980.6666666666666,2020-09-14
New York City,39,1041,960,981,,994,2020-09-21
New York City,40,1005,1047,1025,,1025.6666666666667,2020-09-28
New York City,41,971,1050,1068,,1029.6666666666667,2020-10-05
New York City,42,1002,1047,1045,,1031.3333333333333,2020-10-12
New York City,43,1071,1091,1045,,1069,2020-10-19
New York City,44,1016,1098,983,,1032.3333333333333,2020-10-26
New York City,45,1049,1038,1091,,1059.3333333333333,2020-11-02
New York City,46,1049,1048,1085,,1060.6666666666667,2020-11-09
New York City,47,1030,1062,1044,,1045.3333333333333,2020-11-16
New York City,48,1077,1084,1023,,1061.3333333333333,2020-11-23
New York City,49,1014,1084,1137,,1078.3333333333333,2020-11-30
New York City,50,1107,1037,1122,,1088.6666666666667,2020-12-07
New York City,51,1126,1102,1098,,1108.6666666666667,2020-12-14
